Battalion,Total_USD,Donation_Count,Average_USD
Delaware Battalion,30750.3,16,1921.89375
Arizona Battalion,25766.63,78,330.34141025641026
Michigan Battalion,20151.29,108,186.58601851851853
New Jersey Battalion,17525.93,70,250.37042857142856
Tennessee Battalion,16102.710000000001,84,191.69892857142858
Connecticut Battalion,13686.21,9,1520.6899999999998
DC Battalion,13656.07,64,213.37609375
Utah Battalion,13636.869999999999,77,177.1022077922078
Hawaii Battalion,13512.46,7,1930.3514285714284
Guam Battalion,12520.72,4,3130.18
Virginia Battalion,7925.9400000000005,60,132.09900000000002
Washington Battalion,7125.69,47,151.6104255319149
Minnesota Battalion,6796.07,14,485.4335714285714
Ohio Battalion,6429.67,51,126.07196078431373
Iowa Battalion,5780.65,67,86.27835820895523
North Carolina Battalion,4997.650000000001,48,104.11770833333334
Wisconsin Battalion,4417.46,34,129.92529411764707
Texas Battalion,2345.73,32,73.3040625
Illinois Battalion,2178.37,24,90.76541666666667
Colorado Battalion,1976.39,32,61.7621875
New Hampshire Battalion,1953.35,20,97.66749999999999
New Mexico,361.08,3,120.36
Unassigned,316.37,8,39.54625
